p_val	avg_logFC	pct.1	pct.2	p_val_adj	sample_id	cell_type	gene_symbol
MMY21940.CD8+T.NDUFAF8	5.74198983429686e-39	1.30419994496447	0.443	0.168	1.92574855062648e-34	MMY21940	CD8+T	NDUFAF8
MMY21940.CD8+T.MPHOSPH8	7.02450734010893e-39	-1.5079281452032	0.174	0.438	2.35587927172573e-34	MMY21940	CD8+T	MPHOSPH8
MMY21940.CD8+T.TMC6	7.89660937475984e-39	-0.357027788578941	0.034	0.22	2.64836485210695e-34	MMY21940	CD8+T	TMC6
MMY21940.CD8+T.SEL1L	8.17019268971779e-39	1.60135387806601	0.353	0.097	2.74011922427755e-34	MMY21940	CD8+T	SEL1L
MMY21940.CD8+T.SLC8A1	8.39040172482581e-39	0.859357532389014	0.213	0.005	2.81397293047208e-34	MMY21940	CD8+T	SLC8A1
MMY21940.CD8+T.ISG20	8.86605935025026e-39	5.63037095533822	0.607	0.353	2.97349898488693e-34	MMY21940	CD8+T	ISG20
MMY21940.CD8+T.RASGRP2	1.4265995502477e-38	-0.326581347617076	0.014	0.176	4.78452957162072e-34	MMY21940	CD8+T	RASGRP2
MMY21940.CD8+T.ARHGAP30	1.79399089616336e-38	-0.544203426257265	0.058	0.266	6.01668666755267e-34	MMY21940	CD8+T	ARHGAP30
MMY21940.CD8+T.CD79A	2.12891940204892e-38	20.8778307021356	0.236	0.019	7.13996989059166e-34	MMY21940	CD8+T	CD79A
MMY21940.CD8+T.RPL10	2.18993803979754e-38	86.2406043381083	0.997	0.996	7.344614197873e-34	MMY21940	CD8+T	RPL10
MMY21940.CD8+T.GYPC	2.19228970086656e-38	2.19697401351005	0.618	0.365	7.35250119876626e-34	MMY21940	CD8+T	GYPC
MMY21940.CD8+T.TAGLN2	2.29200736852176e-38	1.67460878178187	0.134	0.385	7.68693431254827e-34	MMY21940	CD8+T	TAGLN2
MMY21940.CD8+T.IL10RA	2.69319628702317e-38	-0.729527757607504	0.078	0.299	9.0324417074183e-34	MMY21940	CD8+T	IL10RA
MMY21940.CD8+T.LSM5	3.10726801076223e-38	1.50497567098838	0.498	0.222	1.04211554544944e-33	MMY21940	CD8+T	LSM5
MMY21940.CD8+T.HLA-DRB5	3.64749226330513e-38	-0.722728434329369	0.019	0.186	1.22329595526727e-33	MMY21940	CD8+T	HLA-DRB5
MMY21940.CD8+T.FAM49B	4.2952062839087e-38	-0.682553454183135	0.111	0.35	1.4405262834973e-33	MMY21940	CD8+T	FAM49B
MMY21940.CD8+T.TNFAIP8	5.1580544515269e-38	-0.896616086025275	0.09	0.315	1.72990830195309e-33	MMY21940	CD8+T	TNFAIP8
MMY21940.CD8+T.CALR	5.55252033233255e-38	4.76969238895282	0.696	0.493	1.86220426905769e-33	MMY21940	CD8+T	CALR
MMY21940.CD8+T.DTWD1	6.84004882024081e-38	1.5606669922874	0.288	0.05	2.29401557333236e-33	MMY21940	CD8+T	DTWD1
MMY21940.CD8+T.ZC3HAV1	7.01398044646081e-38	-0.943913556326344	0.113	0.351	2.35234876213403e-33	MMY21940	CD8+T	ZC3HAV1
MMY21940.CD8+T.FRGCA	7.05016127078366e-38	0.669759931389281	0.211	0.007	2.36448308699542e-33	MMY21940	CD8+T	FRGCA
MMY21940.CD8+T.PRR13	7.13745725577008e-38	-0.697626668153676	0.153	0.409	2.39376041444017e-33	MMY21940	CD8+T	PRR13
MMY21940.CD8+T.MRPS21	7.22912796350808e-38	2.78629874413419	0.527	0.259	2.42450493640134e-33	MMY21940	CD8+T	MRPS21
MMY21940.CD8+T.GAS6	7.53487153307887e-38	3.03434230598322	0.214	0.008	2.52704521476399e-33	MMY21940	CD8+T	GAS6
MMY21940.CD8+T.LAGE3	7.73030620849783e-38	0.724286943043132	0.302	0.059	2.592590096206e-33	MMY21940	CD8+T	LAGE3
MMY21940.CD8+T.FNDC3B	8.5447152707686e-38	3.11966138050165	0.321	0.074	2.86572660751037e-33	MMY21940	CD8+T	FNDC3B
MMY21940.CD8+T.DDX5	9.5260327325286e-38	25.1585082809993	0.615	0.923	3.19484085783544e-33	MMY21940	CD8+T	DDX5
MMY21940.CD8+T.OPTN	9.93340793094877e-38	-0.343286831213821	0.065	0.274	3.3314663518816e-33	MMY21940	CD8+T	OPTN
MMY21940.CD8+T.BANK1	1.42660635923012e-37	0.868312339011117	0.207	0.005	4.78455240758598e-33	MMY21940	CD8+T	BANK1
MMY21940.CD8+T.IGLL5	1.94627336262887e-37	48.8996510744994	0.215	0.009	6.5274116035847e-33	MMY21940	CD8+T	IGLL5
MMY21940.CD8+T.BHLHE40	2.30188837553323e-37	-0.332146788007425	0.008	0.155	7.72007323386333e-33	MMY21940	CD8+T	BHLHE40
MMY21940.CD8+T.CCL4L2	2.35251925195213e-37	-25.3876051748802	0.003	0.141	7.88987906719706e-33	MMY21940	CD8+T	CCL4L2
MMY21940.CD8+T.CAP1	2.41442849414264e-37	-0.986913957649134	0.145	0.393	8.0975102836556e-33	MMY21940	CD8+T	CAP1
MMY21940.CD8+T.RPS27	3.3834556504425e-37	34.4971353758036	0.982	0.997	1.1347433560454e-32	MMY21940	CD8+T	RPS27
MMY21940.CD8+T.CANX	3.38682343091742e-37	2.69255891585652	0.573	0.312	1.13587284226108e-32	MMY21940	CD8+T	CANX
MMY21940.CD8+T.ZNF683	3.49201729540704e-37	-0.853482299480557	0.001	0.132	1.17115276053361e-32	MMY21940	CD8+T	ZNF683
MMY21940.CD8+T.RHOF	3.53549386677383e-37	-0.471894593193091	0.065	0.274	1.18573393303861e-32	MMY21940	CD8+T	RHOF
MMY21940.CD8+T.CASP4	4.10667769471788e-37	-0.516883467413339	0.036	0.219	1.37729756525448e-32	MMY21940	CD8+T	CASP4
MMY21940.CD8+T.GIMAP1	4.82229987645632e-37	-0.352512176004917	0.005	0.145	1.61730293256592e-32	MMY21940	CD8+T	GIMAP1
MMY21940.CD8+T.PABPC4	6.41082985236049e-37	1.75119066195509	0.459	0.191	2.15006411588466e-32	MMY21940	CD8+T	PABPC4
MMY21940.CD8+T.SYTL2	6.7126743375303e-37	-0.417318490125135	0.003	0.136	2.25129671932091e-32	MMY21940	CD8+T	SYTL2
MMY21940.CD8+T.TYMP	7.11706434912986e-37	1.30390095547783	0.303	0.062	2.38692104141117e-32	MMY21940	CD8+T	TYMP
MMY21940.CD8+T.GLIPR2	8.69604837454572e-37	-0.309682178103272	0.012	0.162	2.91648070385514e-32	MMY21940	CD8+T	GLIPR2
MMY21940.CD8+T.NHP2	9.15052149679982e-37	2.17862470923582	0.463	0.196	3.06890189959672e-32	MMY21940	CD8+T	NHP2
MMY21940.CD8+T.MYBL1	1.08928349861362e-36	-0.916210305333647	0.063	0.27	3.65323899765035e-32	MMY21940	CD8+T	MYBL1
MMY21940.CD8+T.S1PR5	1.7893603554762e-36	-0.295395578157069	0.001	0.13	6.00115676019607e-32	MMY21940	CD8+T	S1PR5
MMY21940.CD8+T.TMEM208	1.83673444491001e-36	0.748264174360721	0.334	0.086	6.16003998133921e-32	MMY21940	CD8+T	TMEM208
MMY21940.CD8+T.IGLC2	2.88218107035681e-36	62.6153587182675	0.297	0.058	9.66625887376267e-32	MMY21940	CD8+T	IGLC2
MMY21940.CD8+T.DGKZ	3.59989775649572e-36	-0.525633460563002	0.071	0.281	1.20733370957353e-31	MMY21940	CD8+T	DGKZ
MMY21940.CD8+T.BMI1	3.94625517097094e-36	1.55643991315333	0.335	0.091	1.32349505924023e-31	MMY21940	CD8+T	BMI1
MMY21940.CD8+T.A2M	4.97374737211807e-36	-0.437709364448581	0.001	0.128	1.66809539366096e-31	MMY21940	CD8+T	A2M
MMY21940.CD8+T.IFNAR1	6.7201609156205e-36	0.802750902451256	0.313	0.072	2.2538075678808e-31	MMY21940	CD8+T	IFNAR1
MMY21940.CD8+T.CIB1	6.87479506936622e-36	-0.607773577783105	0.159	0.409	2.30566877036404e-31	MMY21940	CD8+T	CIB1
MMY21940.CD8+T.WAS	7.01190441034978e-36	-0.545373950332848	0.067	0.272	2.35165250114311e-31	MMY21940	CD8+T	WAS
MMY21940.CD8+T.IGF1	7.04792111364687e-36	3.10992594343175	0.22	0.016	2.36373178309489e-31	MMY21940	CD8+T	IGF1
MMY21940.CD8+T.ITK	7.19901451984541e-36	-0.292643952558483	0.005	0.141	2.41440548966575e-31	MMY21940	CD8+T	ITK
MMY21940.CD8+T.OXNAD1	7.20046672074603e-36	-0.344525366631764	0.02	0.18	2.4148925288038e-31	MMY21940	CD8+T	OXNAD1
MMY21940.CD8+T.ERGIC3	7.38181245980643e-36	0.964576835717288	0.377	0.123	2.47571226276988e-31	MMY21940	CD8+T	ERGIC3
MMY21940.CD8+T.CD4	8.81684097355125e-36	-0.415949406886778	0.005	0.141	2.95699212570962e-31	MMY21940	CD8+T	CD4
MMY21940.CD8+T.CFL1	1.0712609784759e-35	-3.66483191051761	0.686	0.877	3.59279506961246e-31	MMY21940	CD8+T	CFL1
MMY21940.CD8+T.TGFB1	1.10290436641812e-35	1.74360576466075	0.156	0.395	3.69892066409308e-31	MMY21940	CD8+T	TGFB1
MMY21940.CD8+T.RASGRP3	1.70483496179765e-35	0.990302656301701	0.208	0.011	5.71767549487694e-31	MMY21940	CD8+T	RASGRP3
MMY21940.CD8+T.PIK3IP1	2.08902489045614e-35	-0.354309323514235	0.031	0.203	7.0061716776118e-31	MMY21940	CD8+T	PIK3IP1
MMY21940.CD8+T.CLIC4	2.15724636567755e-35	2.98442191997306	0.208	0.011	7.23497286120938e-31	MMY21940	CD8+T	CLIC4
MMY21940.CD8+T.MIAT	2.32652202821291e-35	-0.470777219919951	0.008	0.146	7.80268957822047e-31	MMY21940	CD8+T	MIAT
MMY21940.CD8+T.LINC00623	2.61763082907043e-35	-0.584637030099496	0.05	0.239	8.77901027453639e-31	MMY21940	CD8+T	LINC00623
MMY21940.CD8+T.KLHL6	2.96450711763135e-35	0.842360890187534	0.227	0.022	9.94236397111201e-31	MMY21940	CD8+T	KLHL6
MMY21940.CD8+T.DNPH1	2.99108728412418e-35	0.817829590153351	0.26	0.041	1.00315085334957e-30	MMY21940	CD8+T	DNPH1
MMY21940.CD8+T.SNHG19	3.45966260078888e-35	1.16156503139009	0.283	0.057	1.16030164305257e-30	MMY21940	CD8+T	SNHG19
MMY21940.CD8+T.TRAT1	4.00731120138901e-35	-0.305856508607876	0.006	0.141	1.34397203072185e-30	MMY21940	CD8+T	TRAT1
MMY21940.CD8+T.TGFBR2	4.26055889441798e-35	-0.317656761016775	0.025	0.189	1.4289062420099e-30	MMY21940	CD8+T	TGFBR2
MMY21940.CD8+T.ZFP36L1	4.93670804656158e-35	-0.809293149227485	0.079	0.289	1.65567314465582e-30	MMY21940	CD8+T	ZFP36L1
MMY21940.CD8+T.LITAF	5.51270216686885e-35	-1.15017938657135	0.226	0.482	1.84885005272447e-30	MMY21940	CD8+T	LITAF
MMY21940.CD8+T.SEC61G	6.02712139382886e-35	9.96833333205404	0.71	0.527	2.02137597306232e-30	MMY21940	CD8+T	SEC61G
MMY21940.CD8+T.RHOB	7.23965154286504e-35	10.2090182790203	0.329	0.096	2.42803433444608e-30	MMY21940	CD8+T	RHOB
MMY21940.CD8+T.NAA10	7.86230713922897e-35	1.59623134886447	0.429	0.174	2.63686056835461e-30	MMY21940	CD8+T	NAA10
MMY21940.CD8+T.SNU13	8.82179184181983e-35	2.5360910626853	0.625	0.404	2.95865254790953e-30	MMY21940	CD8+T	SNU13
MMY21940.CD8+T.EEF1B2	9.15618091566175e-35	22.1343492553962	0.903	0.857	3.07079995549464e-30	MMY21940	CD8+T	EEF1B2
MMY21940.CD8+T.CD300A	1.32416169154476e-34	-0.312665882618886	0.003	0.131	4.44097348110282e-30	MMY21940	CD8+T	CD300A
MMY21940.CD8+T.SLC1A5	1.43288027220347e-34	2.515488376243	0.251	0.038	4.80559385691601e-30	MMY21940	CD8+T	SLC1A5
MMY21940.CD8+T.CX3CR1	1.5078491896902e-34	-0.331771897645039	0	0.12	5.057024612383e-30	MMY21940	CD8+T	CX3CR1
MMY21940.CD8+T.SLC39A8	1.60833817386123e-34	0.735963326255791	0.264	0.045	5.3940445674958e-30	MMY21940	CD8+T	SLC39A8
MMY21940.CD8+T.AC026979.2	1.90807250536906e-34	-0.688533535093475	0.04	0.216	6.39929356850674e-30	MMY21940	CD8+T	AC026979.2
MMY21940.CD8+T.POU2F2	2.01524415636683e-34	2.32337194808597	0.314	0.081	6.75872585162307e-30	MMY21940	CD8+T	POU2F2
MMY21940.CD8+T.ABHD17A	3.01120567431087e-34	-0.747570712016959	0.195	0.443	1.00989815905038e-29	MMY21940	CD8+T	ABHD17A
MMY21940.CD8+T.FAM133A	3.31541557097892e-34	0.977969914359794	0.191	0.005	1.11192407419491e-29	MMY21940	CD8+T	FAM133A
MMY21940.CD8+T.PTGER2	3.64402858666526e-34	-0.261781139751579	0.003	0.127	1.2221343073958e-29	MMY21940	CD8+T	PTGER2
MMY21940.CD8+T.EOMES	3.81076638945322e-34	-0.407404620400101	0.001	0.122	1.27805483169482e-29	MMY21940	CD8+T	EOMES
MMY21940.CD8+T.GMPPB	3.83752268138802e-34	0.529624736414505	0.205	0.012	1.28702835688392e-29	MMY21940	CD8+T	GMPPB
MMY21940.CD8+T.ST6GAL1	4.20970351179488e-34	1.73607711227838	0.407	0.158	1.41185036378577e-29	MMY21940	CD8+T	ST6GAL1
MMY21940.CD8+T.OSTF1	5.15680561021013e-34	-0.528657086354287	0.079	0.282	1.72948946555227e-29	MMY21940	CD8+T	OSTF1
MMY21940.CD8+T.FOSL2	6.86508062837256e-34	-0.467331034908853	0.008	0.143	2.30241074114359e-29	MMY21940	CD8+T	FOSL2
MMY21940.CD8+T.RAP1A	8.54203074675115e-34	-0.466976877761082	0.088	0.299	2.8648262718454e-29	MMY21940	CD8+T	RAP1A
MMY21940.CD8+T.TBX21	8.86475881628263e-34	-0.312425744448129	0.003	0.126	2.97306281180487e-29	MMY21940	CD8+T	TBX21
MMY21940.CD8+T.TRAV17	9.23687701775182e-34	-0.694812309314918	0.001	0.12	3.0978638142136e-29	MMY21940	CD8+T	TRAV17
MMY21940.CD8+T.LINC02397	9.28224776988148e-34	0.770871871299206	0.189	0.005	3.11308025706285e-29	MMY21940	CD8+T	LINC02397
MMY21940.CD8+T.LSP1	1.0247454155573e-33	-0.880080016371682	0.235	0.491	3.43679117469606e-29	MMY21940	CD8+T	LSP1
MMY21940.CD8+T.TIMM13	1.29195284045523e-33	0.671654396040501	0.311	0.078	4.33295143631876e-29	MMY21940	CD8+T	TIMM13
MMY21940.CD8+T.RPS24	1.43243199959629e-33	2.59054113843452	0.939	0.985	4.80409044024603e-29	MMY21940	CD8+T	RPS24
MMY21940.CD8+T.LYPD6B	1.82209942891092e-33	0.489631862477727	0.179	0.001	6.11095706468144e-29	MMY21940	CD8+T	LYPD6B
MMY21940.CD8+T.LAG3	2.1245877211066e-33	-0.278788230093791	0.003	0.124	7.12544229904731e-29	MMY21940	CD8+T	LAG3
MMY21940.CD8+T.CD226	2.21701497827344e-33	-0.491608011487088	0.018	0.165	7.43542483413347e-29	MMY21940	CD8+T	CD226
MMY21940.CD8+T.NDUFAF3	2.88098886527662e-33	1.09042245572054	0.373	0.128	9.66226045636472e-29	MMY21940	CD8+T	NDUFAF3
MMY21940.CD8+T.SH3BP1	3.83538718506422e-33	-0.341084436776813	0.017	0.162	1.28631215412684e-28	MMY21940	CD8+T	SH3BP1
MMY21940.CD8+T.CTSS	4.33521145850453e-33	5.41738628875916	0.51	0.255	1.45394321895325e-28	MMY21940	CD8+T	CTSS
MMY21940.CD8+T.AC012368.1	4.4734891902611e-33	0.623193035509349	0.185	0.005	1.50031880462977e-28	MMY21940	CD8+T	AC012368.1
MMY21940.CD8+T.CHID1	5.3655823555917e-33	0.53882857842671	0.253	0.042	1.79950901041835e-28	MMY21940	CD8+T	CHID1
MMY21940.CD8+T.ST6GALNAC4	5.50890139028145e-33	0.495195451893469	0.214	0.02	1.84757534827259e-28	MMY21940	CD8+T	ST6GALNAC4
MMY21940.CD8+T.FCGRT	5.70108231782573e-33	0.478213249454702	0.226	0.027	1.91202898775239e-28	MMY21940	CD8+T	FCGRT
MMY21940.CD8+T.CHPF	7.52552550113373e-33	0.621419375887158	0.225	0.027	2.52391074257023e-28	MMY21940	CD8+T	CHPF
MMY21940.CD8+T.SEPT6	8.90045745200596e-33	-0.792903273083735	0.132	0.355	2.98503542025376e-28	MMY21940	CD8+T	SEPT6
MMY21940.CD8+T.DIP2A	9.14330462608694e-33	-0.463014021856665	0.027	0.184	3.06648150549704e-28	MMY21940	CD8+T	DIP2A
MMY21940.CD8+T.CRELD2	9.2547812752823e-33	0.675961557325228	0.312	0.082	3.10386854410418e-28	MMY21940	CD8+T	CRELD2
MMY21940.CD8+T.SPINT2	1.08026218063936e-32	0.629619786961253	0.246	0.039	3.62298330142828e-28	MMY21940	CD8+T	SPINT2
MMY21940.CD8+T.CXXC5	1.65766251341132e-32	0.546323951799126	0.207	0.018	5.55946853747889e-28	MMY21940	CD8+T	CXXC5
MMY21940.CD8+T.CRIP1	1.66480788178508e-32	-0.516933158502465	0.022	0.172	5.58343267393081e-28	MMY21940	CD8+T	CRIP1
MMY21940.CD8+T.ZYX	2.04314282780913e-32	0.532918405093321	0.023	0.176	6.85229241590626e-28	MMY21940	CD8+T	ZYX
MMY21940.CD8+T.CFL2	2.19285372864005e-32	0.702616613754057	0.21	0.02	7.35439283511301e-28	MMY21940	CD8+T	CFL2
MMY21940.CD8+T.CTGF	2.51525727919808e-32	19.898355622576	0.184	0.007	8.43566986297451e-28	MMY21940	CD8+T	CTGF
MMY21940.CD8+T.DOCK8	3.67968059038816e-32	-0.442281158559043	0.095	0.301	1.23409127640438e-27	MMY21940	CD8+T	DOCK8
MMY21940.CD8+T.TRAM2	4.26507215706601e-32	0.657013301554926	0.216	0.024	1.4304199000368e-27	MMY21940	CD8+T	TRAM2
MMY21940.CD8+T.ACTR2	5.02637642584761e-32	-0.873422815075053	0.273	0.541	1.68574612570077e-27	MMY21940	CD8+T	ACTR2
MMY21940.CD8+T.CCND3	5.13420472116691e-32	-0.42822327131396	0.138	0.362	1.72190957938496e-27	MMY21940	CD8+T	CCND3
MMY21940.CD8+T.MAPK1	5.86573686795451e-32	-0.401458751154112	0.075	0.272	1.96725083077458e-27	MMY21940	CD8+T	MAPK1
MMY21940.CD8+T.LYST	6.08192474946545e-32	-0.418458182405784	0.03	0.188	2.03975592247572e-27	MMY21940	CD8+T	LYST
MMY21940.CD8+T.HSP90AA1	6.29261099404942e-32	3.0626502292941	0.598	0.815	2.11041587518429e-27	MMY21940	CD8+T	HSP90AA1
MMY21940.CD8+T.PRDM5	6.90088276384414e-32	0.596953231956666	0.185	0.008	2.31441806133805e-27	MMY21940	CD8+T	PRDM5
MMY21940.CD8+T.GRINA	8.24864239577186e-32	0.657946824520568	0.243	0.041	2.76642968669396e-27	MMY21940	CD8+T	GRINA
MMY21940.CD8+T.ZNF831	8.97265647934138e-32	-0.296801149115009	0.002	0.116	3.00924953004151e-27	MMY21940	CD8+T	ZNF831
MMY21940.CD8+T.MRPS33	1.03240757923402e-31	1.13391382589171	0.346	0.111	3.46248853923505e-27	MMY21940	CD8+T	MRPS33
MMY21940.CD8+T.DNAJC10	1.33791991210017e-31	1.31174700267749	0.31	0.086	4.48711580120156e-27	MMY21940	CD8+T	DNAJC10
MMY21940.CD8+T.CSGALNACT1	1.38874064711886e-31	0.770375218822738	0.194	0.014	4.65755838230723e-27	MMY21940	CD8+T	CSGALNACT1
MMY21940.CD8+T.TOP1	1.62998691661051e-31	1.69923560977164	0.41	0.165	5.46665012092833e-27	MMY21940	CD8+T	TOP1
MMY21940.CD8+T.RND3	1.63011859208444e-31	5.00800787642198	0.18	0.007	5.46709173413279e-27	MMY21940	CD8+T	RND3
MMY21940.CD8+T.CDKN2A	1.64989805070697e-31	0.662966087438326	0.229	0.032	5.53342808246104e-27	MMY21940	CD8+T	CDKN2A
MMY21940.CD8+T.MIR29B2CHG	2.41600368323905e-31	11.8452419777967	0.229	0.034	8.10279315284714e-27	MMY21940	CD8+T	MIR29B2CHG
MMY21940.CD8+T.TNS3	2.56414348229851e-31	0.476349540311995	0.179	0.007	8.59962441093275e-27	MMY21940	CD8+T	TNS3
MMY21940.CD8+T.DDT	5.37676079453581e-31	2.20625909000365	0.507	0.272	1.80325803527142e-26	MMY21940	CD8+T	DDT
MMY21940.CD8+T.AC103591.3	5.78036835378892e-31	31.3366153137999	0.303	0.091	1.93861993849373e-26	MMY21940	CD8+T	AC103591.3
MMY21940.CD8+T.OXR1	5.8854508132876e-31	0.776172953957661	0.278	0.066	1.9738624937604e-26	MMY21940	CD8+T	OXR1
MMY21940.CD8+T.RBM47	7.14909393804154e-31	0.592842789648076	0.174	0.005	2.39766312494037e-26	MMY21940	CD8+T	RBM47
MMY21940.CD8+T.RPS29	7.75252444112645e-31	-3.47506830877751	0.966	0.996	2.60004164706499e-26	MMY21940	CD8+T	RPS29
MMY21940.CD8+T.ATP5MC1	1.0212064958904e-30	0.768788710146606	0.453	0.203	3.42492234591721e-26	MMY21940	CD8+T	ATP5MC1
MMY21940.CD8+T.HYI	1.09054485930521e-30	0.41429769220712	0.203	0.02	3.65746934913782e-26	MMY21940	CD8+T	HYI
MMY21940.CD8+T.TXNDC11	1.30043681464939e-30	0.80607798214623	0.252	0.05	4.36140498897111e-26	MMY21940	CD8+T	TXNDC11
MMY21940.CD8+T.ELL2	1.54441916294394e-30	1.70846614187345	0.274	0.065	5.1796729886814e-26	MMY21940	CD8+T	ELL2
MMY21940.CD8+T.VMA21	1.57238663964798e-30	0.958604672906906	0.334	0.108	5.27347031205141e-26	MMY21940	CD8+T	VMA21
MMY21940.CD8+T.ALOX5AP	1.62252329818134e-30	-0.69749254700008	0.072	0.258	5.44161863744058e-26	MMY21940	CD8+T	ALOX5AP
MMY21940.CD8+T.GATA3	1.74551022780548e-30	-0.269709945219791	0.006	0.124	5.85409220201401e-26	MMY21940	CD8+T	GATA3
MMY21940.CD8+T.SCML4	1.83718769525667e-30	-0.258680985016176	0.005	0.122	6.16156009235183e-26	MMY21940	CD8+T	SCML4
MMY21940.CD8+T.ARHGAP26	1.86981691145131e-30	-0.37366068483222	0.019	0.158	6.27099195762541e-26	MMY21940	CD8+T	ARHGAP26
MMY21940.CD8+T.RALGDS	1.98390715315057e-30	-0.366123446169466	0.023	0.166	6.65362781023639e-26	MMY21940	CD8+T	RALGDS
MMY21940.CD8+T.ZNF593	2.69894284273496e-30	0.744136325449039	0.241	0.043	9.05171450596451e-26	MMY21940	CD8+T	ZNF593
MMY21940.CD8+T.CUTA	3.22206125464117e-30	1.94633996902412	0.588	0.381	1.08061490358156e-25	MMY21940	CD8+T	CUTA
MMY21940.CD8+T.PCNX1	4.58335471883655e-30	-0.360908691843157	0.042	0.204	1.5371655056034e-25	MMY21940	CD8+T	PCNX1
MMY21940.CD8+T.MLLT3	5.43343953461187e-30	1.6245510128228	0.327	0.108	1.82226695111813e-25	MMY21940	CD8+T	MLLT3
MMY21940.CD8+T.PTPRE	5.57891881396995e-30	-0.321305995170155	0.018	0.153	1.87105779182924e-25	MMY21940	CD8+T	PTPRE
MMY21940.CD8+T.TES	6.0299640003358e-30	2.99539376997932	0.104	0.305	2.02232932643262e-25	MMY21940	CD8+T	TES
MMY21940.CD8+T.TNFRSF13B	6.21551618317905e-30	0.499393044888254	0.167	0.004	2.08455981751459e-25	MMY21940	CD8+T	TNFRSF13B
MMY21940.CD8+T.FCRLA	7.61662482937483e-30	0.461990246623175	0.163	0.003	2.55446363527573e-25	MMY21940	CD8+T	FCRLA
MMY21940.CD8+T.ST3GAL6	9.13513212172642e-30	0.546908574229033	0.166	0.004	3.06374061098461e-25	MMY21940	CD8+T	ST3GAL6
MMY21940.CD8+T.TGFBR3L	9.71822590276268e-30	0.468746509965558	0.185	0.014	3.25929860326855e-25	MMY21940	CD8+T	TGFBR3L
MMY21940.CD8+T.PRR34-AS1	1.02121087368031e-29	0.917834867094438	0.29	0.076	3.42493702814902e-25	MMY21940	CD8+T	PRR34-AS1
MMY21940.CD8+T.NPC2	1.3055978119644e-29	0.944932219505289	0.405	0.17	4.37871394176619e-25	MMY21940	CD8+T	NPC2
MMY21940.CD8+T.PRELID1	1.36516929070146e-29	2.32703660052922	0.591	0.384	4.57850476715455e-25	MMY21940	CD8+T	PRELID1
MMY21940.CD8+T.KCNN3	1.48757579223312e-29	0.448240138914178	0.171	0.007	4.98903169199144e-25	MMY21940	CD8+T	KCNN3
MMY21940.CD8+T.AOAH	1.51717318472068e-29	-0.276066892465767	0.003	0.111	5.08829542691621e-25	MMY21940	CD8+T	AOAH
MMY21940.CD8+T.TMEM59	1.90560622416693e-29	2.42279544478903	0.575	0.368	6.39102215461104e-25	MMY21940	CD8+T	TMEM59
MMY21940.CD8+T.WDR74	3.42875716239495e-29	37.6173304301297	0.313	0.1	1.14993657712402e-24	MMY21940	CD8+T	WDR74
MMY21940.CD8+T.RPS17	3.49202620175813e-29	12.3520117819679	0.692	0.509	1.17115574754564e-24	MMY21940	CD8+T	RPS17
MMY21940.CD8+T.DERL1	5.04505670747609e-29	0.764761397501007	0.344	0.122	1.69201111855333e-24	MMY21940	CD8+T	DERL1
MMY21940.CD8+T.TXNDC15	5.5551235317237e-29	0.532536805739002	0.223	0.036	1.86307733006949e-24	MMY21940	CD8+T	TXNDC15
MMY21940.CD8+T.SERPINB9	5.58789291079265e-29	-0.298815358045224	0.021	0.157	1.87406752442164e-24	MMY21940	CD8+T	SERPINB9
MMY21940.CD8+T.APOBEC3G	6.35318999628307e-29	-0.695734694510814	0.092	0.284	2.13073286095342e-24	MMY21940	CD8+T	APOBEC3G
MMY21940.CD8+T.C2orf88	6.59036834415016e-29	0.469523560562246	0.17	0.008	2.21027773526108e-24	MMY21940	CD8+T	C2orf88
MMY21940.CD8+T.IQGAP1	6.59324090185354e-29	-1.20834302310046	0.203	0.436	2.21124113366364e-24	MMY21940	CD8+T	IQGAP1
MMY21940.CD8+T.BAX	7.12364922393071e-29	-0.598812088487271	0.099	0.292	2.38912947672188e-24	MMY21940	CD8+T	BAX
MMY21940.CD8+T.COA4	7.83900163386839e-29	0.697244668581756	0.296	0.084	2.62904436796678e-24	MMY21940	CD8+T	COA4
MMY21940.CD8+T.TUFM	1.03160502063374e-28	1.07368480602087	0.428	0.201	3.45979691820144e-24	MMY21940	CD8+T	TUFM
MMY21940.CD8+T.OTUD1	1.03688072046136e-28	30.8112804022936	0.249	0.057	3.4774905602833e-24	MMY21940	CD8+T	OTUD1
MMY21940.CD8+T.C11orf1	1.09908517454368e-28	0.569017804343824	0.242	0.049	3.68611185838459e-24	MMY21940	CD8+T	C11orf1
MMY21940.CD8+T.SEC24A	1.11887217893017e-28	1.13649237623091	0.221	0.036	3.75247351369599e-24	MMY21940	CD8+T	SEC24A
MMY21940.CD8+T.CRACR2B	1.2491948321418e-28	0.446549399825031	0.166	0.007	4.18954962803718e-24	MMY21940	CD8+T	CRACR2B
MMY21940.CD8+T.HERPUD2	1.31631814243561e-28	-0.373969712654314	0.064	0.238	4.41466778610056e-24	MMY21940	CD8+T	HERPUD2
MMY21940.CD8+T.ZBTB1	1.41248996030749e-28	-0.4819982165458	0.06	0.23	4.73720882887926e-24	MMY21940	CD8+T	ZBTB1
MMY21940.CD8+T.GBP5	1.47085754748214e-28	-0.419024141830173	0.034	0.184	4.93296204274561e-24	MMY21940	CD8+T	GBP5
MMY21940.CD8+T.BLNK	1.60131437415897e-28	0.367247572374776	0.157	0.003	5.37048814805434e-24	MMY21940	CD8+T	BLNK
